table_name,main_column_index,column_index,label
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,7,author
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,2,bookFormat
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,3,datePublished
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,4,price
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,5,inLanguage
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,6,isbn
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,9,ratingValue
Book_atlantavintagebooks.com_September2020_CPA.json.gz,0,6,priceCurrency
Book_atlantavintagebooks.com_September2020_CPA.json.gz,0,2,"title
 nuru
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>"
Book_atlantavintagebooks.com_September2020_CPA.json.gz,0,4,author
Book_atlantavintagebooks.com_September2020_CPA.json.gz,0,5,priceCurrency
Book_atlantavintagebooks.com_September2020_CPA.json.gz,0,7,availability
Book_boitealivres.com_September2020_CPA.json.gz,0,11,priceCurrency
Book_boitealivres.com_September2020_CPA.json.gz,0,10,datePublished
Book_boitealivres.com_September2020_CPA.json.gz,0,2,isbn
Book_boitealivres.com_September2020_CPA.json.gz,0,3,bookFormat
Book_boitealivres.com_September2020_CPA.json.gz,0,4,bookFormat
Book_boitealivres.com_September2020_CPA.json.gz,0,7,author
Book_boitealivres.com_September2020_CPA.json.gz,0,8,price
Book_boitealivres.com_September2020_CPA.json.gz,0,9,availability
Book_businezz.nl_September2020_CPA.json.gz,0,6,inLanguage
Book_businezz.nl_September2020_CPA.json.gz,0,2,"title
 nuru
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>"
Book_businezz.nl_September2020_CPA.json.gz,0,3,isbn
Book_businezz.nl_September2020_CPA.json.gz,0,4,datePublished
Book_businezz.nl_September2020_CPA.json.gz,0,5,datePublished
Book_businezz.nl_September2020_CPA.json.gz,0,7,author
Book_businezz.nl_September2020_CPA.json.gz,0,8,title
Book_catoandmacro.com_September2020_CPA.json.gz,0,4,datePublished
Book_catoandmacro.com_September2020_CPA.json.gz,0,3,publisher
Book_catoandmacro.com_September2020_CPA.json.gz,0,5,description
Book_catoandmacro.com_September2020_CPA.json.gz,0,6,isbn
Book_catoandmacro.com_September2020_CPA.json.gz,0,7,url
Book_clearias.com_September2020_CPA.json.gz,0,6,description
Book_clearias.com_September2020_CPA.json.gz,0,1,description
Book_clearias.com_September2020_CPA.json.gz,0,2,author
Book_clearias.com_September2020_CPA.json.gz,0,3,title
Book_clearias.com_September2020_CPA.json.gz,0,4,price
Book_clearias.com_September2020_CPA.json.gz,0,7,isbn
Book_comandacarti.ro_September2020_CPA.json.gz,0,7,priceCurrency
Book_comandacarti.ro_September2020_CPA.json.gz,0,1,description
Book_comandacarti.ro_September2020_CPA.json.gz,0,2,"title
 nuru
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>"
Book_comandacarti.ro_September2020_CPA.json.gz,0,4,author
Book_comandacarti.ro_September2020_CPA.json.gz,0,5,publisher
Book_comandacarti.ro_September2020_CPA.json.gz,0,6,priceCurrency
Book_comandacarti.ro_September2020_CPA.json.gz,0,8,price
Book_currency.com.au_September2020_CPA.json.gz,0,3,datePublished
Book_currency.com.au_September2020_CPA.json.gz,0,7,priceCurrency
Book_currency.com.au_September2020_CPA.json.gz,0,2,isbn
Book_currency.com.au_September2020_CPA.json.gz,0,4,"title
 nuru
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>
<|im_start|>
numberOfPages"
Book_currency.com.au_September2020_CPA.json.gz,0,5,author
Book_currency.com.au_September2020_CPA.json.gz,0,6,author
Book_currency.com.au_September2020_CPA.json.gz,0,8,availability
Book_davidsedarisbooks.com_September2020_CPA.json.gz,0,6,author
Book_davidsedarisbooks.com_September2020_CPA.json.gz,0,2,"title
----"
Book_davidsedarisbooks.com_September2020_CPA.json.gz,0,3,isbn
Book_davidsedarisbooks.com_September2020_CPA.json.gz,0,4,datePublished
Book_davidsedarisbooks.com_September2020_CPA.json.gz,0,7,url
Book_davidsedarisbooks.com_September2020_CPA.json.gz,0,8,genre
Book_donner.nl_September2020_CPA.json.gz,0,9,priceCurrency
Book_donner.nl_September2020_CPA.json.gz,0,1,description
Book_donner.nl_September2020_CPA.json.gz,0,2,publisher
Book_donner.nl_September2020_CPA.json.gz,0,3,isbn
Book_donner.nl_September2020_CPA.json.gz,0,4,author
Book_donner.nl_September2020_CPA.json.gz,0,5,numberOfPages
Book_donner.nl_September2020_CPA.json.gz,0,6,description
Book_donner.nl_September2020_CPA.json.gz,0,7,bookFormat
Book_donner.nl_September2020_CPA.json.gz,0,11,availability
Book_donner.nl_September2020_CPA.json.gz,0,12,"price
<|im_start|> sourceMappingURL=../../css/prettify-answers.css.map"
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,7,author
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,1,description
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,4,datePublished
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,2,genre
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,3,isbn
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,5,genre
Book_enidblyton.co.uk_September2020_CPA.json.gz,0,6,url
Book_firebaseapp.com_September2020_CPA.json.gz,0,1,description
Book_firebaseapp.com_September2020_CPA.json.gz,0,2,bookFormat
Book_firebaseapp.com_September2020_CPA.json.gz,0,3,numberOfPages
Book_firebaseapp.com_September2020_CPA.json.gz,0,4,title
Book_firebaseapp.com_September2020_CPA.json.gz,0,5,author
Book_firebaseapp.com_September2020_CPA.json.gz,0,7,ratingValue
Book_firebaseapp.com_September2020_CPA.json.gz,0,8,isbn
Book_haeslacheresel.de_September2020_CPA.json.gz,0,8,inLanguage
Book_haeslacheresel.de_September2020_CPA.json.gz,0,1,author
Book_haeslacheresel.de_September2020_CPA.json.gz,0,2,bookFormat
Book_haeslacheresel.de_September2020_CPA.json.gz,0,3,datePublished
Book_haeslacheresel.de_September2020_CPA.json.gz,0,4,numberOfPages
Book_haeslacheresel.de_September2020_CPA.json.gz,0,5,isbn
Book_haeslacheresel.de_September2020_CPA.json.gz,0,6,ratingValue
Book_idefix.com_September2020_CPA.json.gz,0,4,inLanguage
Book_idefix.com_September2020_CPA.json.gz,0,10,priceCurrency
Book_idefix.com_September2020_CPA.json.gz,0,2,"title
 nuru
<|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|><|im_start|>"
Book_idefix.com_September2020_CPA.json.gz,0,5,author
Book_idefix.com_September2020_CPA.json.gz,0,6,isbn
Book_idefix.com_September2020_CPA.json.gz,0,7,publisher
Book_idefix.com_September2020_CPA.json.gz,0,8,availability
Book_idefix.com_September2020_CPA.json.gz,0,9,price
Book_idefix.com_September2020_CPA.json.gz,0,12,itemCondition
Book_kristenburns.com_September2020_CPA.json.gz,0,3,datePublished
Book_kristenburns.com_September2020_CPA.json.gz,0,1,description
Book_kristenburns.com_September2020_CPA.json.gz,0,2,title
Book_kristenburns.com_September2020_CPA.json.gz,0,4,numberOfPages
Book_kristenburns.com_September2020_CPA.json.gz,0,5,genre
Book_kristenburns.com_September2020_CPA.json.gz,0,6,author
Book_kristenburns.com_September2020_CPA.json.gz,0,7,url
Book_librairie-kleber.com_September2020_CPA.json.gz,0,10,priceCurrency
Book_librairie-kleber.com_September2020_CPA.json.gz,0,4,datePublished
Book_librairie-kleber.com_September2020_CPA.json.gz,0,2,isbn
