table_name,main_column_index,column_index,label,labelcol
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,7,author,Author/name
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,2,bookFormat,BookFormatType
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,3,datePublished,Date
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,4,numberOfPages,Date
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,5,inLanguage,Language
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,6,isbn,IdentifierAT
Book_1carpetcleaning.co.uk_September2020_CPA.json.gz,0,9,ratingValue,Rating
Book_idefix.com_September2020_CPA.json.gz,0,4,inLanguage,Language
Book_idefix.com_September2020_CPA.json.gz,0,10,priceCurrency,currency
Book_idefix.com_September2020_CPA.json.gz,0,2,bookFormat,BookFormatType
Book_idefix.com_September2020_CPA.json.gz,0,5,author,Person/name
Book_idefix.com_September2020_CPA.json.gz,0,6,isbn,IdentifierAT
Book_idefix.com_September2020_CPA.json.gz,0,7,publisher,Publisher
Book_idefix.com_September2020_CPA.json.gz,0,8,availability,ItemAvailability
Book_idefix.com_September2020_CPA.json.gz,0,9,price,price
Book_idefix.com_September2020_CPA.json.gz,0,12,itemCondition,NewCondition
Event_agilepainrelief.com_September2020_CPA.json.gz,0,7,validThrough,Date
Event_agilepainrelief.com_September2020_CPA.json.gz,0,1,startDate,Event/name
Event_agilepainrelief.com_September2020_CPA.json.gz,0,2,description,Date
Event_agilepainrelief.com_September2020_CPA.json.gz,0,3,endDate,Event/name
Event_agilepainrelief.com_September2020_CPA.json.gz,0,4,eventAttendanceMode,EventStatusType
Event_agilepainrelief.com_September2020_CPA.json.gz,0,5,eventStatus,EventStatusType
Event_agilepainrelief.com_September2020_CPA.json.gz,0,6,priceCurrency,priceRange
Event_agilepainrelief.com_September2020_CPA.json.gz,0,8,price,price
Event_agilepainrelief.com_September2020_CPA.json.gz,0,9,validFrom,Date
Event_agilepainrelief.com_September2020_CPA.json.gz,0,10,availability,ItemAvailability
Event_agilepainrelief.com_September2020_CPA.json.gz,0,11,location,EventAttendanceModeEnumeration
Event_healingwishess.com_September2020_CPA.json.gz,0,6,endDate,EventDateTime
Event_healingwishess.com_September2020_CPA.json.gz,0,1,startDate,Event/name
Event_healingwishess.com_September2020_CPA.json.gz,0,3,eventStatus,EventStatusType
Event_healingwishess.com_September2020_CPA.json.gz,0,4,eventAttendanceMode,EventAttendanceModeEnumeration
Event_healingwishess.com_September2020_CPA.json.gz,0,7,location,Event/name
LocalBusiness_agcnd.org_September2020_CPA.json.gz,0,6,faxNumber,telephone
LocalBusiness_aiccnm.com_September2020_CPA.json.gz,0,2,faxNumber,telephone
LocalBusiness_allmysons.com_September2020_CPA.json.gz,0,4,faxNumber,telephone
